data_hora;preco_usd;variacao_percentual
2024-12-17 00:47:56;106893.98;0.0
2024-12-17 00:48:05;106895.32;0.0
2024-12-17 00:48:08;106911.07;0.01
2024-12-17 00:48:10;106911.07;0.0
2024-12-17 00:48:12;106929.57;0.02
